Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,42000.0,42500.0,41800.0,42300.0,1500.5
2024-01-01 01:00:00,42300.0,42800.0,42100.0,42700.0,1800.3
2024-01-01 02:00:00,42700.0,42900.0,42400.0,42500.0,1200.1
2024-01-01 03:00:00,42500.0,42600.0,42000.0,42100.0,2100.7
2024-01-01 04:00:00,42100.0,42400.0,41900.0,42350.0,1650.2
2024-01-01 05:00:00,42350.0,42800.0,42200.0,42750.0,1900.0
2024-01-01 06:00:00,42750.0,43100.0,42600.0,43000.0,2200.4
2024-01-01 07:00:00,43000.0,43200.0,42800.0,42900.0,1400.8
2024-01-01 08:00:00,42900.0,43000.0,42500.0,42600.0,1750.6
2024-01-01 09:00:00,42600.0,42900.0,42400.0,42850.0,1600.9
