Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,42000.0,42270.62,41946.4,42108.51,1894.3
2024-01-01 01:00:00,42133.95,42145.14,42022.08,42083.61,886.1
2024-01-01 02:00:00,42180.56,42369.43,42078.78,42224.1,909.2
2024-01-01 03:00:00,42161.64,42625.48,42474.26,42549.87,4654.5
2024-01-01 04:00:00,42603.45,42787.29,42221.33,42504.31,3601.8
2024-01-01 05:00:00,42553.04,42782.92,42134.68,42458.8,1072.0
2024-01-01 06:00:00,42417.47,42862.77,42733.84,42798.3,2105.3
2024-01-01 07:00:00,42841.41,43297.04,42636.57,42966.81,3166.2
2024-01-01 08:00:00,42981.25,43069.94,42670.55,42870.24,4260.1
2024-01-01 09:00:00,42860.49,43123.97,42857.69,42990.83,696.5
2024-01-01 10:00:00,42955.41,42961.49,42829.54,42895.52,1564.8
2024-01-01 11:00:00,42864.67,42992.7,42607.13,42799.92,4503.9
2024-01-01 12:00:00,42887.65,43137.18,42574.77,42855.98,541.2
2024-01-01 13:00:00,42856.01,42702.85,42197.72,42450.28,1406.3
2024-01-01 14:00:00,42483.49,42145.3,42031.53,42088.41,4815.6
2024-01-01 15:00:00,42055.13,42037.69,41910.9,41974.29,3260.3
2024-01-01 16:00:00,41941.56,41925.48,41606.38,41765.93,1677.5
2024-01-01 17:00:00,41811.12,41964.04,41707.42,41835.73,801.5
2024-01-01 18:00:00,41779.27,41759.37,41540.57,41649.97,626.9
2024-01-01 19:00:00,41632.68,41482.74,41237.31,41360.02,1601.4
2024-01-01 20:00:00,41361.43,41943.28,41391.24,41667.26,4466.7
2024-01-01 21:00:00,41671.9,41936.76,41312.01,41624.39,2371.6
2024-01-01 22:00:00,41616.93,41802.33,41482.87,41642.6,3741.5
2024-01-01 23:00:00,41659.09,41653.74,41046.49,41350.12,4632.3
2024-01-02 00:00:00,41378.77,41375.75,41107.64,41241.7,2336.2
2024-01-02 01:00:00,41272.0,41447.6,41089.79,41268.7,1360.7
2024-01-02 02:00:00,41228.01,41141.29,40929.36,41035.32,2827.0
2024-01-02 03:00:00,41023.66,41341.97,40891.06,41116.51,4586.4
2024-01-02 04:00:00,41165.64,41319.09,40675.2,40997.14,4119.7
2024-01-02 05:00:00,41033.82,41155.35,40727.55,40941.45,796.2
2024-01-02 06:00:00,40885.24,40965.44,40679.3,40822.37,3616.6
2024-01-02 07:00:00,40836.72,41432.58,40976.47,41204.52,3073.5
2024-01-02 08:00:00,41123.01,41282.52,41129.2,41205.86,4583.6
2024-01-02 09:00:00,41207.8,41288.05,40696.08,40992.06,1051.2
2024-01-02 10:00:00,41069.86,41350.88,40978.62,41164.75,2903.2
2024-01-02 11:00:00,41125.73,41087.21,40747.97,40917.59,4457.6
2024-01-02 12:00:00,40883.45,41173.38,40755.45,40964.41,2345.1
2024-01-02 13:00:00,40995.71,40785.11,40349.14,40567.13,2669.0
2024-01-02 14:00:00,40504.54,40362.33,40241.23,40301.78,817.1
2024-01-02 15:00:00,40276.28,40578.61,40112.35,40345.48,1751.6
2024-01-02 16:00:00,40369.54,40607.57,40389.4,40498.48,1960.3
2024-01-02 17:00:00,40472.79,40780.36,40294.1,40537.23,4753.1
2024-01-02 18:00:00,40527.67,40791.66,40244.04,40517.85,1772.0
2024-01-02 19:00:00,40548.0,40729.06,40192.73,40460.9,2573.9
2024-01-02 20:00:00,40477.95,40361.34,39970.32,40165.83,3520.9
2024-01-02 21:00:00,40176.55,40211.05,39839.52,40025.28,1229.8
2024-01-02 22:00:00,40011.71,40016.98,39857.22,39937.1,2689.0
2024-01-02 23:00:00,39951.88,40410.26,39894.11,40152.19,3823.4
2024-01-03 00:00:00,40147.22,40341.83,40108.54,40225.19,4400.8
2024-01-03 01:00:00,40243.6,40053.13,39696.1,39874.62,3318.2
2024-01-03 02:00:00,39854.8,40062.64,39823.79,39943.22,3510.7
2024-01-03 03:00:00,39935.92,39947.52,39793.08,39870.3,1068.3
2024-01-03 04:00:00,39830.83,39954.21,39524.48,39739.34,4756.0
2024-01-03 05:00:00,39737.95,39919.88,39809.83,39864.86,1096.6
2024-01-03 06:00:00,39832.53,40324.43,39824.26,40074.35,3986.0
2024-01-03 07:00:00,40029.7,40394.73,40135.18,40264.96,1691.7
2024-01-03 08:00:00,40275.37,40140.17,40059.89,40100.03,4701.2
2024-01-03 09:00:00,40108.56,40225.35,39858.73,40042.04,3739.8
2024-01-03 10:00:00,40073.39,40165.63,40059.1,40112.37,3892.2
2024-01-03 11:00:00,40095.07,40430.28,40193.79,40312.04,1485.8
2024-01-03 12:00:00,40328.48,40458.74,39980.23,40219.48,2493.7
2024-01-03 13:00:00,40241.64,40243.99,40128.35,40186.17,3280.2
2024-01-03 14:00:00,40204.04,40242.69,39693.1,39967.89,3964.9
